sent,verb,Class,sent_with_target
"Конечно же , Вам не нужно все время ребенка музыкой .",бомбардировать,1,"Конечно же , Вам не нужно все время TARGET ребенка музыкой ."
"Добрынин тогда говорил Шевченко , "" что Центр Вашингтон своими запросами несколько месяцев .",бомбардировать,1,"Добрынин тогда говорил Шевченко , "" что Центр TARGET Вашингтон своими запросами несколько месяцев ."
"Если принять во внимание , как настойчиво « группы с особыми интересами » своими мемами будущих и действующих конгрессменов , а также особенности нашей политической системы , мы легко можем прийти к выводу , что усвоение мемов , принадлежащих « группам с особыми интересами » , есть необходимое условие вступления кандидата в конгресс .",бомбардировать,1,"Если принять во внимание , как настойчиво « группы с особыми интересами » TARGET своими мемами будущих и действующих конгрессменов , а также особенности нашей политической системы , мы легко можем прийти к выводу , что усвоение мемов , принадлежащих « группам с особыми интересами » , есть необходимое условие вступления кандидата в конгресс ."
"Кроме того , покупка второй руки сохраняет природные ресурсы используются для производства новых clothing . Before я могу закончить , друзья мои меня вопросами : где лучшее место , чтобы делать покупки ?",бомбардировать,1,"Кроме того , покупка второй руки сохраняет природные ресурсы используются для производства новых clothing . Before я могу закончить , друзья мои TARGET меня вопросами : где лучшее место , чтобы делать покупки ?"
"Сигналы настойчиво меня в тот день , но я не придал им особого значения , и вихрь усилился .",бомбардировать,1,"Сигналы настойчиво TARGET меня в тот день , но я не придал им особого значения , и вихрь усилился ."
"И вообще , как только его сделали епископом , начал Синод прошениями отправить его на покой .",бомбардировать,1,"И вообще , как только его сделали епископом , начал TARGET Синод прошениями отправить его на покой ."
"А у нас , ведь знаете , как делается : пока гром не грянет , никто не перекрестится ; а там пойдут телеграммами губернатора : "" Войска давайте ! "" .",бомбардировать,1,"А у нас , ведь знаете , как делается : пока гром не грянет , никто не перекрестится ; а там пойдут телеграммами губернатора TARGET : "" Войска давайте ! "" ."
"Покупатели активно администрацию магазина вопросами , когда же долгожданные новинки обретут своих новых владельцев .",бомбардировать,1,"Покупатели активно TARGET администрацию магазина вопросами , когда же долгожданные новинки обретут своих новых владельцев ."
"Вы подхватываете то , что имеются группы , как на Земле , так и в других сферах , которые буквально сейчас сознание сценариями страха , потому что со страхом они удерживают власть .",бомбардировать,1,"Вы подхватываете то , что имеются группы , как на Земле , так и в других сферах , которые буквально TARGET сейчас сознание сценариями страха , потому что со страхом они удерживают власть ."
Нина Протасова телеграммами .,бомбардировать,1,Нина TARGET Протасова телеграммами .
"Нас сообщения из СМИ , от врачей о последних новомодных диетах , говорящих нам , какую пищу мы должны считать привлекательной .",бомбардировать,1,"Нас TARGET сообщения из СМИ , от врачей о последних новомодных диетах , говорящих нам , какую пищу мы должны считать привлекательной ."
Они буквально службу « 911 » своими нелепыми звонками .,бомбардировать,1,Они буквально TARGET службу « 911 » своими нелепыми звонками .
"Председатель ФРС , « иллюзионист » Бен Бернанке , регулярно американский рынок тоннами долларовой наличности , пытаясь тем самым , создать временное ощущение роста экономики .",бомбардировать,1,"Председатель ФРС , « иллюзионист » Бен Бернанке , регулярно TARGET американский рынок тоннами долларовой наличности , пытаясь тем самым , создать временное ощущение роста экономики ."
"Объемы дневных порций писем , почтовые ящики пользователей Интернета , начинают превышать все разумные рамки .",бомбардировать,1,"Объемы дневных порций писем , TARGET почтовые ящики пользователей Интернета , начинают превышать все разумные рамки ."
"Только они не газеты письмами наравне с откровенными психами , хотя , по правде говоря , не особенно от них отличаются .",бомбардировать,1,"Только они не TARGET газеты письмами наравне с откровенными психами , хотя , по правде говоря , не особенно от них отличаются ."
"После того , как с двух часов дня ее начали по телефону : « Ну как ?",бомбардировать,1,"После того , как с двух часов дня ее начали TARGET по телефону : « Ну как ?"
"В итоге правы все , но крайней остается обороноспособность страны , так как офицер , обложившись юридической литературой , начинает суд исками , отбывая на службе номер .",бомбардировать,1,"В итоге правы все , но крайней остается обороноспособность страны , так как офицер , обложившись юридической литературой , начинает TARGET суд исками , отбывая на службе номер ."
"Управление мышлением может быть мощным наступательным оружием – намного более простым , чем принуждение врага к сдаче военной бомбежкой или другими физическими действиями … Радиопередатчики , нацеленные на « встроенные » в мозг человека « приемники » , могут жертвы приказами о сдаче » .",бомбардировать,1,"Управление мышлением может быть мощным наступательным оружием – намного более простым , чем принуждение врага к сдаче военной бомбежкой или другими физическими действиями … Радиопередатчики , нацеленные на « встроенные » в мозг человека « приемники » , могут TARGET жертвы приказами о сдаче » ."
При прохождении города нас песней « Какой изумительный мир » Луиса Армстронга в стиле техно .,бомбардировать,1,При прохождении города нас TARGET песней « Какой изумительный мир » Луиса Армстронга в стиле техно .
В данной ситуации мы буквально жалобами и обращениями различные инстанции .,бомбардировать,1,В данной ситуации мы буквально TARGET жалобами и обращениями различные инстанции .
"Если и тебя , моя бедная Прасковья Ивановна , беспокоили из-за меня такими же презренными письмами и , как ты выразилась , "" "" , то , конечно , первая жалею , что послужила невинною причиной .",бомбардировать,1,"Если и тебя , моя бедная Прасковья Ивановна , беспокоили из-за меня такими же презренными письмами и , как ты выразилась , "" TARGET "" , то , конечно , первая жалею , что послужила невинною причиной ."
"Лиза пыталась вновь « » вероломного возлюбленного - и разговорами по душам , и угрозами .",бомбардировать,1,"Лиза пыталась вновь « TARGET » вероломного возлюбленного - и разговорами по душам , и угрозами ."
"По словам Обамы , сейчас медиа - индустрия круглосуточно и семь дней в неделю "" "" человека данными самого различного рода , причем , многие из них не являются достоверными .",бомбардировать,1,"По словам Обамы , сейчас медиа - индустрия круглосуточно и семь дней в неделю "" TARGET "" человека данными самого различного рода , причем , многие из них не являются достоверными ."
"Карл свой выбор остановил на нем потому , что , находясь на посту посла в Бухаресте , граф свое венское начальство длинными письмами - меморандумами , настаивая на необходимости приступить к мирным переговорам с Антантой , что совпадало с намерениями и планами молодого монарха .",бомбардировать,1,"Карл свой выбор остановил на нем потому , что , находясь на посту посла в Бухаресте , граф TARGET свое венское начальство длинными письмами - меморандумами , настаивая на необходимости приступить к мирным переговорам с Антантой , что совпадало с намерениями и планами молодого монарха ."
"Нас постоянно призывы к помощи , поэтому для реального участия в чем-либо нужна веская причина .",бомбардировать,1,"Нас постоянно TARGET призывы к помощи , поэтому для реального участия в чем-либо нужна веская причина ."
"Как только потребитель поднимает голову , его начинают брендами .",бомбардировать,1,"Как только потребитель поднимает голову , его начинают TARGET брендами ."
"И банк продолжал меня то повестками в суд , то предложениями « войти в мое трудное положение и реструктурировать кредит » .",бомбардировать,1,"И банк продолжал TARGET меня то повестками в суд , то предложениями « войти в мое трудное положение и реструктурировать кредит » ."
"Алиса на это не подписывалась - не стоит её по этому поводу , у неё сейчас и так забот выше крыши .",бомбардировать,1,"Алиса на это не подписывалась - не стоит её TARGET по этому поводу , у неё сейчас и так забот выше крыши ."
"В течение всего дня вас телевизионной коммерческой рекламой , рекламными объявлениями по радио , рекламой в газетах , рекламой на стенках автобусов и на щитах для объявлений .",бомбардировать,1,"В течение всего дня вас TARGET телевизионной коммерческой рекламой , рекламными объявлениями по радио , рекламой в газетах , рекламой на стенках автобусов и на щитах для объявлений ."
"« Виновница » переполоха , однако , не спешила почивать на лаврах , продолжая рынок новинками – автофокусными « зеркалками » Maxxum ( за пределами США известными как Dynax и Alpha ) на базе свежеиспеченного байонета « Minolta A » .",бомбардировать,1,"« Виновница » переполоха , однако , не спешила почивать на лаврах , продолжая TARGET рынок новинками – автофокусными « зеркалками » Maxxum ( за пределами США известными как Dynax и Alpha ) на базе свежеиспеченного байонета « Minolta A » ."
"Тем временем панегириками в адрес Ретифа де ла Бретонна меня начал Данте Дзакканьини , ученый и запойный читатель из Кайроу , штат НьюЙорк .",бомбардировать,1,"Тем временем панегириками в адрес Ретифа де ла Бретонна меня начал TARGET Данте Дзакканьини , ученый и запойный читатель из Кайроу , штат НьюЙорк ."
"А вот теперь объясните - когда с польским правительством заключили договор в 41 , и они начали СССР просьбами вернуть этих поляков , им до 43 года нагло врали .",бомбардировать,1,"А вот теперь объясните - когда с польским правительством заключили договор в 41 , и они начали TARGET СССР просьбами вернуть этих поляков , им до 43 года нагло врали ."
"Еще напоминаю при каких обстоятельствах начались запреты на оружие ( революция , 37 год и т.д . ) Мужиков надо планомерно и настойчиво мыслью - оружие не доверяют только рабам !",бомбардировать,1,"Еще напоминаю при каких обстоятельствах начались запреты на оружие ( революция , 37 год и т.д . ) Мужиков надо планомерно и настойчиво TARGET мыслью - оружие не доверяют только рабам !"
"Что касается влияния пробиотиков на здоровье — потребителей вовсю заявлениями о пользе сброженных продуктов , которые являются источником живых культур — все знают о йогурте .",бомбардировать,1,"Что касается влияния пробиотиков на здоровье — потребителей вовсю TARGET заявлениями о пользе сброженных продуктов , которые являются источником живых культур — все знают о йогурте ."
"Его прошениями уважаемые люди , даже космонавты ( особенно тот , что видел в иллюминаторе летающие тарелки ) , и пишут , чтобы он своим буквоедством не мешал распространению передовых научных идей .",бомбардировать,1,"Его TARGET прошениями уважаемые люди , даже космонавты ( особенно тот , что видел в иллюминаторе летающие тарелки ) , и пишут , чтобы он своим буквоедством не мешал распространению передовых научных идей ."
"Нас , людей , постоянно противоречивая информация , передаваемая разными органами чувств , но , к счастью , у нас есть хороший « примиритель » или « арбитр » — ум , который синтезирует , интегрирует и сглаживает конфликты между своими агентами , которые постоянно докладывают в « штаб » со своих различных аванпостов .",бомбардировать,1,"Нас , людей , постоянно TARGET противоречивая информация , передаваемая разными органами чувств , но , к счастью , у нас есть хороший « примиритель » или « арбитр » — ум , который синтезирует , интегрирует и сглаживает конфликты между своими агентами , которые постоянно докладывают в « штаб » со своих различных аванпостов ."
В последующие пятнадцать минут Карла буквально подобными же детскими задачами .,бомбардировать,1,В последующие пятнадцать минут Карла буквально TARGET подобными же детскими задачами .
"Сайт откликается на потребности должным образом реагировать на многочисленные потоки символически насыщенных сообщений , изо дня в день сознание огромного множества людей посредством телевидения , радио , прессы , кино , видеоигр и других средств электронной культуры , среди которых возрастающую роль играет Интернет , - учитывая при этом роль проблематики экологии масс - медиа и мультимедийной грамотности , а также музыкального структурирования сознания современного человека - жителя "" глобальной деревни "" .",бомбардировать,1,"Сайт откликается на потребности должным образом реагировать на многочисленные потоки символически насыщенных сообщений , изо дня в день TARGET сознание огромного множества людей посредством телевидения , радио , прессы , кино , видеоигр и других средств электронной культуры , среди которых возрастающую роль играет Интернет , - учитывая при этом роль проблематики экологии масс - медиа и мультимедийной грамотности , а также музыкального структурирования сознания современного человека - жителя "" глобальной деревни "" ."
"Хабаровская межрайонная природоохранная прокуратура и Ростехнадзор местный суд исковыми заявлениями с требованием обязать руководство Водоканала объяснить , почему у орга низации , в чьем ведении находятся канализационные сети , нет права на пользование водным объектом .",бомбардировать,1,"Хабаровская межрайонная природоохранная прокуратура и Ростехнадзор TARGET местный суд исковыми заявлениями с требованием обязать руководство Водоканала объяснить , почему у орга низации , в чьем ведении находятся канализационные сети , нет права на пользование водным объектом ."
"Изображения , которыми нас телевидение , кино , а теперь и персональные компьютеры , наглядно демонстрируют мощь современной 3 D - графики .",бомбардировать,1,"Изображения , которыми TARGET нас телевидение , кино , а теперь и персональные компьютеры , наглядно демонстрируют мощь современной 3 D - графики ."
"В течение двух недель я службу поддержки этого сервиса , но не получила ни одного ответа .",бомбардировать,1,"В течение двух недель я TARGET службу поддержки этого сервиса , но не получила ни одного ответа ."
"Но последние , спустя около года , находят новый мифический долг и вновь меня ультиматумами .",бомбардировать,1,"Но последние , спустя около года , находят новый мифический долг и вновь TARGET меня ультиматумами ."
После этого вас начнут регулярно предложениями « скачать мой новый микс » и « оценить мой новый проект » .,бомбардировать,1,После этого вас начнут регулярно TARGET предложениями « скачать мой новый микс » и « оценить мой новый проект » .
"Но неожиданно для себя влюбился во второй раз — в 19 - летнюю баронессу Александру Бистром , которую он четыре месяца любовными письмами , по 20 - 30 страниц в день , где описывал все свои достоинства и недостатки .",бомбардировать,1,"Но неожиданно для себя влюбился во второй раз — в 19 - летнюю баронессу Александру Бистром , которую он четыре месяца TARGET любовными письмами , по 20 - 30 страниц в день , где описывал все свои достоинства и недостатки ."
"Увы , хотя энтузиасты своими отчетами и предложениями и Минавиапром СССР , и НИИ ВВС , и Военно-воздушную академию имени Жуковского , и даже КГБ СССР , отклика они не находили .",бомбардировать,1,"Увы , хотя энтузиасты TARGET своими отчетами и предложениями и Минавиапром СССР , и НИИ ВВС , и Военно-воздушную академию имени Жуковского , и даже КГБ СССР , отклика они не находили ."
Он стал замкнутым - а до того ученые заведения подробнейшими отчетами обо всех своих изысканиях .,бомбардировать,1,Он стал замкнутым - а до того TARGET ученые заведения подробнейшими отчетами обо всех своих изысканиях .
"Ленин Украину телеграммами о каких-то 50 млн. пудов хлеба , без которых « мы околеем все » .",бомбардировать,1,"Ленин TARGET Украину телеграммами о каких-то 50 млн. пудов хлеба , без которых « мы околеем все » ."
"Так что сначала нелишне предпринять нежную « разведку » и аккуратно уточнить , отчего бесценный не пристает лишний раз , когда , вроде бы , и возможность есть , и красавица флюидами так и .",бомбардировать,1,"Так что сначала нелишне предпринять нежную « разведку » и аккуратно уточнить , отчего бесценный не пристает лишний раз , когда , вроде бы , и возможность есть , и красавица флюидами так и TARGET ."
Министр здравоохранения и соцразвития Михаил Зурабов парламент демографическими идеями .,бомбардировать,1,Министр здравоохранения и соцразвития Михаил Зурабов TARGET парламент демографическими идеями .
"Компания больше не будет « абонентов своими кампаниями » , а вместо этого подойдёт к вопросу более избирательно , утверждает г-жа Шмидт .",бомбардировать,1,"Компания больше не будет « TARGET абонентов своими кампаниями » , а вместо этого подойдёт к вопросу более избирательно , утверждает г-жа Шмидт ."
Иначе зачем производители буквально рынок подобными моделями ?,бомбардировать,1,Иначе зачем производители буквально TARGET рынок подобными моделями ?
"Почему якобы « заказавший » Козлова Френкель буквально прессу письмами - доносами на Козлова и ЦБР , делая себя в глазах общества их главным врагом ?",бомбардировать,1,"Почему якобы « заказавший » Козлова Френкель буквально TARGET прессу письмами - доносами на Козлова и ЦБР , делая себя в глазах общества их главным врагом ?"
"Гипотетично можно было бы конечно представить себе , что повышение скорости и количество новых элементов старую культуру столь велико , что они неизбежно приведут к разрушению самой структуры , когда количество новых элементов по своей , если так можно выразиться культурообразующей энергии , превзойдет старую .",бомбардировать,1,"Гипотетично можно было бы конечно представить себе , что повышение скорости и количество новых элементов TARGET старую культуру столь велико , что они неизбежно приведут к разрушению самой структуры , когда количество новых элементов по своей , если так можно выразиться культурообразующей энергии , превзойдет старую ."
