,sents,targets,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39
0,нужно_PRED весь_ADJF время_NOUN бомбардировать_INFN ребёнок_NOUN музыка_NOUN,1,0.0,0.0,6.901616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013854889,0.0,0.0,0.32235083,0.0,0.0,0.0,0.38332373,0.0,0.0,0.29287097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,добрынин_NOUN говорить_VERB шевченко_NOUN центр_NOUN бомбардировать_INFN вашингтон_NOUN свой_ADJF запрос_NOUN несколько_ADVB месяц_NOUN несколько_ADVB+месяц_NOUN несколько_ADVB+месяц_NOUN несколько_ADVB+месяц_NOUN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21415612,0.0,0.027360808,0.0,0.0,0.55775726,0.0,0.0,0.0020526692,0.0,0.0,0.0,0.0,0.00016449703,0.077147365,0.0,0.012065149,0.10929611,0.0
2,принять_INFN внимание_NOUN настойчиво_ADVB группа_NOUN особый_ADJF интерес_NOUN бомбардировать_INFN свой_ADJF мемами_NOUN будущий_ADJF действующий_ADJF конгрессмен_NOUN также_CONJ особенность_NOUN политический_ADJF система_NOUN легко_ADVB мочь_VERB прийти_INFN вывод_NOUN усвоение_NOUN мем_NOUN принадлежащий_ADJF группа_NOUN особый_ADJF интерес_NOUN необходимый_ADJF условие_NOUN вступление_NOUN кандидат_NOUN конгресс_NOUN,1,0.0,0.0,0.0001822537,0.0,0.0016148891,0.0007282789,0.00025845735,0.0,0.0,0.0,0.0,0.0,0.0,0.026302475,0.0,0.0,0.0,0.0,0.0,0.039306153,0.0,0.0,0.00089831126,0.013219778,0.0,0.0,0.030125186,0.0,0.022286387,0.0,0.011604579,0.0,0.0,0.0,0.0,0.0,0.0,0.54777116,0.29300696,0.012695076
3,кроме_PREP покупка_NOUN рука_NOUN сохранять_VERB природный_ADJF ресурс_NOUN использоваться_VERB производство_NOUN новый_ADJF мочь_VERB закончить_INFN друг_NOUN бомбардировать_INFN вопрос_NOUN хороший_ADJF место_NOUN делать_INFN покупка_NOUN бомбардировать_INFN+вопрос_NOUN бомбардировать_INFN+вопрос_NOUN бомбардировать_INFN+вопрос_NOUN,1,0.0,0.0,0.0,0.0,0.042413775,0.0005166903,0.0,0.0,0.0,0.0,0.023842363,0.0039756494,0.0,4.261961e-05,0.0,0.0,0.0,0.0,0.0,0.20831902,0.0,0.0,0.27623102,0.0,0.0,0.0,0.00026978247,0.0,0.0,0.0,2.669762e-05,0.3242706,0.0,0.0,0.0,0.0,0.0,0.04723066,0.07286115,0.0
4,сигнал_NOUN настойчиво_ADVB бомбардировать_INFN день_NOUN придать_VERB имя_NOUN особый_ADJF значение_NOUN вихрь_NOUN усилиться_VERB,1,0.0,0.0,0.060790297,0.0,0.38747066,0.0,0.38179848,0.0,0.0,0.0,0.0,0.0,0.0,4.654789e-05,0.0,0.0,0.0,0.0,0.0,0.00067615573,0.0,0.0,0.0055095823,0.0,0.0,0.0,0.15905578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046525337,0.0,0.0
5,вообще_ADVB сделать_VERB епископ_NOUN начать_VERB бомбардировать_INFN синод_NOUN прошение_NOUN отправить_INFN покоить_VERB начать_VERB+бомбардировать_INFN начать_VERB+бомбардировать_INFN начать_VERB+бомбардировать_INFN,1,0.0,0.5435676,0.021110019,0.0,0.0,0.0,0.020003991,0.0,0.0,0.00044863566,0.0,0.0,0.0,0.15917993,0.0,0.0013559225,0.0,0.0,0.0,0.1453373,0.0,0.0,0.041793976,0.0,0.0,0.0,0.067202665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,знаете_CONJ делаться_VERB пока_ADVB гром_NOUN грянуть_VERB никто_NPRO перекреститься_VERB пойти_VERB телеграмма_NOUN губернатор_NOUN бомбардировать_INFN войско_NOUN давать_VERB,1,0.0,0.0,0.0,0.0,0.0,0.0,0.00033186315,0.0,0.0,0.0,0.0,0.0,0.0,0.06348577,0.0,0.15705831,0.0,0.0024705078,0.0,0.4602342,0.0,0.028377755,0.1758337,0.0,0.0,0.0,0.028537968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08367001,0.0,0.0
7,покупатель_NOUN активно_ADVB бомбардировать_INFN администрация_NOUN магазин_NOUN вопрос_NOUN долгожданный_ADJF новинка_NOUN обрести_VERB свой_ADJF новый_ADJF владелец_NOUN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109301046,0.0,0.0,0.0,0.0,0.0,0.00019242699,0.0064832363,0.0,0.0,0.0,0.0,0.0013674919,0.0,0.0,0.34771416,0.0041641593,0.0,0.0,0.037756894,0.0,0.0,0.0,5.3366013e-05,0.22246808,0.0,0.0,0.0,0.0,0.0,0.27049914,0.0,0.0
8,подхватывать_VERB иметься_VERB группа_NOUN земля_NOUN сфера_NOUN буквально_ADVB бомбардировать_INFN сознание_NOUN сценарий_NOUN страх_NOUN страх_NOUN удерживать_VERB власть_NOUN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN,1,0.0026084937,0.0,0.0,0.0005020754,0.0,0.0010621215,0.033926737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001164858,0.00016727083,0.0,0.0,0.53051037,0.0,0.0,0.15948592,0.029024957,0.0,0.0,0.0,0.0,0.038867876,0.0,0.0,0.0006226354,0.0,0.0,0.0,0.1294166,0.0,0.07264,0.0,0.0
9,нина_NOUN бомбардировать_INFN протасов_NOUN телеграмма_NOUN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07839516,0.0,0.22115608,0.0,0.4164899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28395885,0.0,0.0,0.0,0.0,0.0,0.0
