,sents,targets,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29
0,нужно_PRED весь_ADJF время_NOUN бомбардировать_INFN ребёнок_NOUN музыка_NOUN,1,0.0,0.0,0.4763487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037009478,0.0,0.0,0.0,0.48664182,0.0,0.0,0.0
1,добрынин_NOUN говорить_VERB шевченко_NOUN центр_NOUN бомбардировать_INFN вашингтон_NOUN свой_ADJF запрос_NOUN несколько_ADVB месяц_NOUN несколько_ADVB+месяц_NOUN несколько_ADVB+месяц_NOUN несколько_ADVB+месяц_NOUN,1,0.0,0.0,0.18117872,0.0,0.094576746,0.0,0.012939005,0.0,0.0,0.0,0.0,0.0,0.0,0.012842154,0.032669824,0.0,0.0,0.1277149,0.0,0.0,0.0,0.012619261,0.0,0.08541426,0.0,0.0,0.17569982,0.0,0.0,0.26434532
2,принять_INFN внимание_NOUN настойчиво_ADVB группа_NOUN особый_ADJF интерес_NOUN бомбардировать_INFN свой_ADJF мемами_NOUN будущий_ADJF действующий_ADJF конгрессмен_NOUN также_CONJ особенность_NOUN политический_ADJF система_NOUN легко_ADVB мочь_VERB прийти_INFN вывод_NOUN усвоение_NOUN мем_NOUN принадлежащий_ADJF группа_NOUN особый_ADJF интерес_NOUN необходимый_ADJF условие_NOUN вступление_NOUN кандидат_NOUN конгресс_NOUN,1,0.0,0.0,2.7302292e-05,0.0,0.22319746,0.0,0.07730376,0.0,0.0,0.0,0.0,0.0,0.0,0.50647575,0.0,0.0,3.3340704e-05,0.0,0.0,0.13096677,0.0,0.0,1.2939958e-05,0.0,0.0,0.0,0.0008881553,0.0,0.059283134,0.0018114931
3,кроме_PREP покупка_NOUN рука_NOUN сохранять_VERB природный_ADJF ресурс_NOUN использоваться_VERB производство_NOUN новый_ADJF мочь_VERB закончить_INFN друг_NOUN бомбардировать_INFN вопрос_NOUN хороший_ADJF место_NOUN делать_INFN покупка_NOUN бомбардировать_INFN+вопрос_NOUN бомбардировать_INFN+вопрос_NOUN бомбардировать_INFN+вопрос_NOUN,1,0.019233663,0.0,3.600404e-05,0.0,0.18416576,0.03641481,0.005198354,0.0,0.0,0.0,0.026808405,0.011611293,0.0033463684,0.027567483,0.0,0.0,0.0005547265,0.0,0.00043907345,0.04583747,0.0,0.0,0.5931723,0.0,0.0,0.0,0.045614205,0.0,0.0,0.0
4,сигнал_NOUN настойчиво_ADVB бомбардировать_INFN день_NOUN придать_VERB имя_NOUN особый_ADJF значение_NOUN вихрь_NOUN усилиться_VERB,1,0.0,0.0,8.408359e-05,0.0,0.39275175,0.0,0.5897588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017405337,0.0,0.0,0.0
5,вообще_ADVB сделать_VERB епископ_NOUN начать_VERB бомбардировать_INFN синод_NOUN прошение_NOUN отправить_INFN покоить_VERB начать_VERB+бомбардировать_INFN начать_VERB+бомбардировать_INFN начать_VERB+бомбардировать_INFN,1,0.0,0.5578816,0.0041000256,0.0,0.0,0.0,0.39876533,0.0,0.0,0.00034570726,0.0,0.0,0.0,0.011936403,0.0,0.0009349518,0.0,0.0,0.0,0.0,0.0,0.0,0.0022265136,0.0,0.0,0.0,0.023809511,0.0,0.0,0.0
6,знаете_CONJ делаться_VERB пока_ADVB гром_NOUN грянуть_VERB никто_NPRO перекреститься_VERB пойти_VERB телеграмма_NOUN губернатор_NOUN бомбардировать_INFN войско_NOUN давать_VERB,1,0.0,0.0,0.0,0.0,0.0,0.0,0.546796,0.0,0.0,0.0,0.0,0.0,0.0,0.10250948,0.0,0.14415444,0.008218949,0.103100486,0.0,0.00014094489,0.0,0.0,0.018501861,0.0,0.0,0.0,0.07657768,0.0,0.0,0.0
7,покупатель_NOUN активно_ADVB бомбардировать_INFN администрация_NOUN магазин_NOUN вопрос_NOUN долгожданный_ADJF новинка_NOUN обрести_VERB свой_ADJF новый_ADJF владелец_NOUN,1,0.0,0.0,0.07209788,0.000175582,0.0,0.0,0.0007010586,0.14987841,0.0,0.0,0.0,0.0,0.0009556024,0.27876338,0.012542264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.434883,0.0,0.0,0.0,0.049144898,0.0,0.0008579058,0.0
8,подхватывать_VERB иметься_VERB группа_NOUN земля_NOUN сфера_NOUN буквально_ADVB бомбардировать_INFN сознание_NOUN сценарий_NOUN страх_NOUN страх_NOUN удерживать_VERB власть_NOUN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN,1,0.032399878,0.0,0.0,0.0037367684,0.0,0.082753584,0.41648337,0.0,0.0,0.0,0.09254747,0.0,0.0011578827,0.00028742265,0.0,0.009883259,0.001103628,0.0,0.0,0.09162606,0.0,0.0,0.0010427354,0.0,0.0,0.0,0.19124214,4.1625543e-05,0.07569411,0.0
9,нина_NOUN бомбардировать_INFN протасов_NOUN телеграмма_NOUN,1,0.0,0.0,0.0,0.0,0.0,0.0,0.00021954624,0.0,0.0,0.0,0.0,0.0,0.0,0.058062073,0.0,0.27449083,0.0,0.66722757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
