sents,targets,Logistic Regression,Linear SVM,Neural Net
нужно_PRED весь_ADJF время_NOUN бомбардировать_INFN ребёнок_NOUN музыка_NOUN,1,1,1,1
добрынин_NOUN говорить_VERB шевченко_NOUN центр_NOUN бомбардировать_INFN вашингтон_NOUN свой_ADJF запрос_NOUN несколько_ADVB месяц_NOUN несколько_ADVB+месяц_NOUN несколько_ADVB+месяц_NOUN несколько_ADVB+месяц_NOUN,1,0,1,0
принять_INFN внимание_NOUN настойчиво_ADVB группа_NOUN особый_ADJF интерес_NOUN бомбардировать_INFN свой_ADJF мемами_NOUN будущий_ADJF действующий_ADJF конгрессмен_NOUN также_CONJ особенность_NOUN политический_ADJF система_NOUN легко_ADVB мочь_VERB прийти_INFN вывод_NOUN усвоение_NOUN мем_NOUN принадлежащий_ADJF группа_NOUN особый_ADJF интерес_NOUN необходимый_ADJF условие_NOUN вступление_NOUN кандидат_NOUN конгресс_NOUN,1,1,1,1
кроме_PREP покупка_NOUN рука_NOUN сохранять_VERB природный_ADJF ресурс_NOUN использоваться_VERB производство_NOUN новый_ADJF мочь_VERB закончить_INFN друг_NOUN бомбардировать_INFN вопрос_NOUN хороший_ADJF место_NOUN делать_INFN покупка_NOUN бомбардировать_INFN+вопрос_NOUN бомбардировать_INFN+вопрос_NOUN бомбардировать_INFN+вопрос_NOUN,1,1,1,1
сигнал_NOUN настойчиво_ADVB бомбардировать_INFN день_NOUN придать_VERB имя_NOUN особый_ADJF значение_NOUN вихрь_NOUN усилиться_VERB,1,1,1,1
вообще_ADVB сделать_VERB епископ_NOUN начать_VERB бомбардировать_INFN синод_NOUN прошение_NOUN отправить_INFN покоить_VERB начать_VERB+бомбардировать_INFN начать_VERB+бомбардировать_INFN начать_VERB+бомбардировать_INFN,1,0,0,0
знаете_CONJ делаться_VERB пока_ADVB гром_NOUN грянуть_VERB никто_NPRO перекреститься_VERB пойти_VERB телеграмма_NOUN губернатор_NOUN бомбардировать_INFN войско_NOUN давать_VERB,1,1,1,1
покупатель_NOUN активно_ADVB бомбардировать_INFN администрация_NOUN магазин_NOUN вопрос_NOUN долгожданный_ADJF новинка_NOUN обрести_VERB свой_ADJF новый_ADJF владелец_NOUN,1,1,1,1
подхватывать_VERB иметься_VERB группа_NOUN земля_NOUN сфера_NOUN буквально_ADVB бомбардировать_INFN сознание_NOUN сценарий_NOUN страх_NOUN страх_NOUN удерживать_VERB власть_NOUN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN,1,1,1,1
нина_NOUN бомбардировать_INFN протасов_NOUN телеграмма_NOUN,1,1,1,1
бомбардировать_INFN сообщение_NOUN сми_NOUN врач_NOUN последний_ADJF новомодный_ADJF диета_NOUN говорящий_ADJF пища_NOUN должный_ADJS считать_INFN привлекательный_ADJF,1,1,1,1
буквально_ADVB бомбардировать_INFN служба_NOUN 911_NUMR свой_ADJF нелепый_ADJF звонок_NOUN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN,1,1,1,1
председатель_NOUN фрс_NOUN иллюзионист_NOUN бен_NOUN бернанка_NOUN регулярно_ADVB бомбардировать_INFN американский_ADJF рынок_NOUN тонна_NOUN долларовый_ADJF наличность_NOUN пытаться_GRND самый_ADJF создать_INFN временной_ADJF ощущение_NOUN рост_NOUN экономика_NOUN регулярно_ADVB+бомбардировать_INFN регулярно_ADVB+бомбардировать_INFN регулярно_ADVB+бомбардировать_INFN,1,1,1,1
объём_NOUN дневный_ADJF порция_NOUN письмо_NOUN бомбардировать_INFN почтовый_ADJF ящик_NOUN пользователь_NOUN интернет_NOUN начинать_VERB превышать_INFN весь_ADJF разумный_ADJF рамка_NOUN,1,1,1,1
бомбардировать_INFN газета_NOUN письмо_NOUN наравне_ADVB откровенный_ADJF псих_NOUN хотя_CONJ правда_NOUN говорить_GRND особенно_ADVB отличаться_VERB,1,1,1,1
часы_NOUN день_NOUN начать_VERB бомбардировать_INFN телефон_NOUN начать_VERB+бомбардировать_INFN начать_VERB+бомбардировать_INFN начать_VERB+бомбардировать_INFN,1,0,0,0
итог_NOUN правый_ADJS весь_ADJF крайний_ADJF оставаться_VERB обороноспособность_NOUN страна_NOUN офицер_NOUN обложиться_GRND юридический_ADJF литература_NOUN начинать_VERB бомбардировать_INFN суд_NOUN иск_NOUN отбывать_GRND служба_NOUN номер_NOUN начинать_VERB+бомбардировать_INFN начинать_VERB+бомбардировать_INFN начинать_VERB+бомбардировать_INFN,1,1,1,1
управление_NOUN мышление_NOUN мочь_VERB мощный_ADJF наступательный_ADJF оружие_NOUN намного_ADVB простой_ADJF принуждение_NOUN враг_NOUN сдача_NOUN военный_ADJF бомбёжка_NOUN физический_ADJF действие_NOUN радиопередатчик_NOUN нацелить_PRTF встроить_PRTF мозг_NOUN человек_NOUN приёмник_NOUN мочь_VERB бомбардировать_INFN жертва_NOUN приказ_NOUN сдача_NOUN,1,1,1,1
прохождение_NOUN город_NOUN бомбардировать_INFN песня_NOUN изумительный_ADJF мир_NOUN луис_NOUN армстронг_NOUN стиль_NOUN техный_ADJS,1,1,1,1
дать_PRTF ситуация_NOUN буквально_ADVB бомбардировать_INFN жалоба_NOUN обращение_NOUN различный_ADJF инстанция_NOUN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN буквально_ADVB+бомбардировать_INFN,1,1,1,1
