,index,class,sentid,lemmas,pos,concr,abstr
0,0,1,бомбардировать#1,"['время', 'ребенок', 'музыка']","['ADV', 'PART', ',', 'SPRO', 'PART', 'ADV', 'A - acc pl plen - inan', 'S inan acc', 'V ipf - inf', 'S anim acc', 'S inan ins', '.']",0.24651666588214005,0.2130534750606847
1,1,1,бомбардировать#2,"['добрынин', 'говорить', 'шевченко', 'центр', 'вашингтон', 'запрос', 'месяц', 'знак-кавычки']","['S anim nom', 'ADV', 'V ipf praet indic', 'S anim nonflex', ',', '""', 'CONJ', 'S inan nom', 'V ipf praet indic', 'S inan nom', 'A - ins pl plen - -', 'S inan ins', 'NUM', 'S inan gen', '.']",0.1813833372370398,0.19930115461458645
2,2,1,бомбардировать#3,"['принять', 'внимание', 'настойчиво', 'группа', 'особый', 'интерес', 'мем', 'будущий', 'действовать', 'конгрессмен', 'особенность', 'политический', 'система', 'легко', 'прийти', 'вывод', 'усвоение', 'принадлежать', 'необходимый', 'условие', 'вступление', 'кандидат', 'конгресс', 'знак-кавычки', 'знак-кавычки']","['CONJ', 'V pf - inf', 'ВО', 'S inan acc', ',', 'CONJ', 'ADV', '«', 'S inan gen', 'С', 'A - ins pl plen - -', 'S inan ins', '»', 'V ipf praes indic', 'A - ins pl plen - -', 'S inan ins', 'A - gen pl plen - -', 'CONJ', 'PARTCP', 'S anim gen', ',', 'CONJ', 'S inan acc', 'A - gen sg plen f -', 'A - gen sg plen f -', 'S inan gen', ',', 'SPRO', 'ADV', 'V ipf praes indic', 'V pf - inf', 'К', 'S inan dat', ',', 'CONJ', 'S inan acc', 'S inan gen', ',', 'PARTCP', '«', 'S inan dat', 'С', 'A - ins pl plen - -', 'S inan ins', '»', ',', 'V ipf praes indic', 'A - nom sg plen n -', 'S inan nom', 'S inan gen', 'S anim gen', 'В', 'S inan acc', '.']",0.15210279324914724,0.23369783778119604
3,3,1,бомбардировать#4,"['закончить', 'друг', 'вопрос', 'лучший', 'место', 'делать', 'покупка']","['NONLEX', 'SPRO', 'V ipf praes indic', 'V pf - inf', ',', 'S anim nom', 'A - nom pl plen - -', 'V ipf praes indic', 'SPRO', 'S inan ins', ':', 'ADV', 'A supr nom sg plen n -', 'S inan nom', ',', 'CONJ', 'V ipf - inf', 'S inan acc', '?']",0.18501295577845622,0.20461232975878663
4,4,1,бомбардировать#5,"['сигнал', 'настойчиво', 'день', 'придать', 'особый', 'значение', 'вихрь', 'усилиться']","['S inan nom', 'ADV', 'V ipf praet indic', 'SPRO', 'В', 'A - acc sg plen m inan', 'S inan acc', ',', 'CONJ', 'SPRO', 'PART', 'V pf praet indic', 'SPRO', 'A - gen sg plen n -', 'S inan gen', ',', 'CONJ', 'S inan nom', 'V pf praet indic', '.']",0.1784125025118149,0.2313385596536631
5,5,1,бомбардировать#6,"['сделать', 'епископ', 'начало', 'синод', 'прошение', 'отправить', 'покой']","['CONJ', 'ADV', ',', 'CONJ', 'SPRO', 'V pf praet indic', 'S anim ins', ',', 'S inan gen', 'V ipf - inf', 'S inan nom', 'S inan ins', 'V pf - inf', 'SPRO', 'НА', 'S inan acc', '.']",0.17967637601199746,0.23594463793212733
6,6,1,бомбардировать#7,"['пойти', 'телеграмма', 'губернатор', 'войско', 'давать', 'знак-кавычки']","['CONJ', 'ADV', 'V pf fut indic', 'S inan ins', 'S anim gen', 'V ipf - inf', ':', '""', 'S inan gen', 'V ipf - imper', '!']",0.18905802949908046,0.1963100434042494
7,7,1,бомбардировать#8,"['покупатель', 'активно', 'администрация', 'магазин', 'вопрос', 'долгожданный', 'новинка', 'обрести', 'новый', 'владелец']","['S anim nom', 'ADV', 'V ipf praet indic', 'S inan acc', 'S inan gen', 'S inan ins', ',', 'ADV', 'PART', 'A - nom pl plen - -', 'S inan nom', 'V pf fut indic', 'A - acc pl plen - anim', 'A - gen pl plen - -', 'S anim gen', '.']",0.17572244690891936,0.21465822171230373
8,8,1,бомбардировать#9,"['подхватывать', 'иметься', 'группа', 'земля', 'другой', 'сфера', 'который', 'сознание', 'сценарий', 'страх', 'удерживать', 'власть', 'буквально']","['SPRO', 'V ipf praes indic', 'S inan acc', ',', 'CONJ', 'V ipf praes indic', 'S inan nom', ',', 'CONJ', 'НА', 'S inan loc', ',', 'CONJ', 'В', 'A - loc pl plen - -', 'S inan loc', ',', 'A - nom pl plen - -', 'ADV', 'V ipf praes indic', 'ADV', 'S inan nom', 'S inan ins', 'S inan gen', ',', 'CONJ', 'СО', 'S inan ins', 'SPRO', 'V ipf praes indic', 'S inan acc', '.']",0.17427624708186015,0.274239037081858
9,9,1,бомбардировать#10,"['нина', 'протасов', 'телеграмма']","['S anim nom', 'V ipf praet indic', 'S inan nom', 'S inan ins', '.']",0.21350027217623702,0.20162768097701575
