clf_lex,clf_pos,clf_conc,clf_emb,clf_lex_pos,clf_lex_conc,clf_lex_emb,clf_lex_pos_conc,clf_lex_pos_emb,clf_lex_emb_conc,clf_lex_pos_emb_conc,clf_lex_tm,clf_pos_tm,clf_conc_tm,clf_emb_tm,clf_lex_pos_tm,clf_lex_emb_tm,clf_lex_conc_tm,clf_conc_emb_tm,clf_lex_pos_conc_tm,clf_lex_pos_conc_emb_tm,gold,lemmas
1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,"['время', 'ребенок', 'музыка']"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"['добрынин', 'говорить', 'шевченко', 'центр', 'вашингтон', 'запрос', 'месяц', 'знак-кавычки']"
0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,"['принять', 'внимание', 'настойчиво', 'группа', 'особый', 'интерес', 'мем', 'будущий', 'действовать', 'конгрессмен', 'особенность', 'политический', 'система', 'легко', 'прийти', 'вывод', 'усвоение', 'принадлежать', 'необходимый', 'условие', 'вступление', 'кандидат', 'конгресс', 'знак-кавычки', 'знак-кавычки']"
1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,"['закончить', 'друг', 'вопрос', 'лучший', 'место', 'делать', 'покупка']"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"['сигнал', 'настойчиво', 'день', 'придать', 'особый', 'значение', 'вихрь', 'усилиться']"
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"['сделать', 'епископ', 'начало', 'синод', 'прошение', 'отправить', 'покой']"
1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,"['пойти', 'телеграмма', 'губернатор', 'войско', 'давать', 'знак-кавычки']"
1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,"['покупатель', 'активно', 'администрация', 'магазин', 'вопрос', 'долгожданный', 'новинка', 'обрести', 'новый', 'владелец']"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"['подхватывать', 'иметься', 'группа', 'земля', 'другой', 'сфера', 'который', 'сознание', 'сценарий', 'страх', 'удерживать', 'власть', 'буквально']"
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"['нина', 'протасов', 'телеграмма']"
